ID,campaign,wp_md,wp_pd,plot,date,rounded_time,height_m,dbh_2023_cm,diameter_m,crown_area_m2,crown_volume_m3,wind_problems,time,vpd16m,vpd42m,size_class
Control_256,May-24,-1.643333333,-0.481666667,Control,27/05/2024,27/05/2024 13:00,21.68350053,15.59718442,NA,NA,1446.539252,FALSE,27/05/2024 13:00,1.063343721,0.735961157,Subcanopy
TFE_178,Feb-24,-1.636666667,-0.32,TFE,23/02/2024,23/02/2024 12:00,29.98249817,31.51267873,0.361348455,38.41297195,86.25094363,TRUE,23/02/2024 12:00,0.803822574,1.048946117,Emergent
TFE_214.3,Oct-23,-1.633333333,-0.421666667,TFE,12/10/2023,12/10/2023 13:00,11.04524994,13.36901522,0.184842731,8.71632214,16.22435103,FALSE,12/10/2023 13:00,1.429423249,1.642755751,Subcanopy
TFE_211,Dec-23,-1.62,-0.463333333,TFE,13/12/2023,13/12/2023 13:00,24.54899979,29.28450953,0.294218233,36.96572467,219.1200545,FALSE,13/12/2023 13:00,1.27951936,1.457018726,Subcanopy
TFE_116,May-24,-1.614666667,-0.382333333,TFE,27/05/2024,27/05/2024 13:00,25.59875107,24.82817112,0.269401064,26.76576336,140.6014033,FALSE,27/05/2024 13:00,1.063343721,0.735961157,Subcanopy
TFE_214.3,Dec-23,-1.596666667,-0.703333333,TFE,13/12/2023,13/12/2023 13:00,11.04524994,13.36901522,0.184842731,8.71632214,16.22435103,FALSE,13/12/2023 13:00,1.27951936,1.457018726,Subcanopy
TFE_211,Jul-23,-1.583333333,-0.043333333,TFE,13/07/2023,13/07/2023 14:00,24.54899979,29.28450953,0.294218233,36.96572467,219.1200545,FALSE,13/07/2023 14:00,0.973053272,1.298836049,Subcanopy
Control_215,May-24,-1.555333333,-0.477666667,Control,27/05/2024,27/05/2024 13:00,37.08650184,70.66479473,0.717267398,42.93890035,164.8538103,FALSE,27/05/2024 13:00,1.063343721,0.735961157,Emergent
Control_264,May-23,-1.55,-0.096666667,Control,24/05/2023,24/05/2023 15:00,27.21600056,29.28450953,0.375361931,61.12434923,244.8962009,FALSE,24/05/2023 15:00,0.1685497,0.276881668,Subcanopy
TFE_213,Feb-24,-1.546666667,-0.676666667,TFE,22/02/2024,22/02/2024 13:00,23.32100105,22.91831181,0.258461415,25.68634428,76.92666757,FALSE,22/02/2024 13:00,1.432109545,1.737777747,Subcanopy
